"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.970103634E1,4.871097165E1,2.195149840E0,1.544689428E2,2.011690674E2,1.090000033E0,1.803000031E2,6.665265049E-1,3.790092468E0,2.502242327E0,2.900000000E1
4.070548806E1,4.871095762E1,2.195150000E0,1.541847574E2,2.008848877E2,1.090000033E0,1.788999939E2,6.678880487E-1,3.790092468E0,2.670149565E0,3.000000000E1
4.170502707E1,4.871094553E1,2.195152940E0,1.531322027E2,1.998323364E2,1.110000014E0,1.803999939E2,6.692310264E-1,3.790092468E0,2.500000000E0,3.000000000E1
4.270881030E1,4.871093420E1,2.195159280E0,1.526277457E2,1.993278809E2,1.090000033E0,1.763999939E2,6.707126778E-1,3.790092468E0,2.500000000E0,3.000000000E1
4.370964472E1,4.871092163E1,2.195165980E0,1.523440525E2,1.990441895E2,1.129999995E0,1.818000031E2,6.720626802E-1,3.790092468E0,2.500000000E0,3.000000000E1
4.470421274E1,4.871091008E1,2.195171650E0,1.519211991E2,1.986213379E2,1.090000033E0,1.868999939E2,6.736043439E-1,3.790092468E0,2.500000000E0,3.000000000E1
4.570952540E1,4.871089653E1,2.195176100E0,1.521414106E2,1.988415527E2,1.200000048E0,1.805000000E2,6.751073253E-1,3.790092468E0,2.500000000E0,2.900000000E1
4.671104212E1,4.871088375E1,2.195182770E0,1.523568628E2,1.990570068E2,1.120000005E0,1.728999939E2,6.764742961E-1,3.790092468E0,2.500000000E0,2.900000000E1
4.770829535E1,4.871087242E1,2.195190000E0,1.520709121E2,1.987710571E2,1.120000005E0,1.736999969E2,6.776140101E-1,3.790092468E0,2.500000000E0,2.900000000E1
4.870886576E1,4.871086240E1,2.195193270E0,1.516230947E2,1.983232422E2,1.120000005E0,1.843000031E2,6.786665181E-1,3.790092468E0,2.500000000E0,2.900000000E1
4.971475722E1,4.871085297E1,2.195194510E0,1.513704669E2,1.980706177E2,1.080000043E0,1.876000061E2,6.798523303E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.070110337E1,4.871084243E1,2.195196970E0,1.511749682E2,1.978751221E2,1.100000024E0,1.908999939E2,6.810755062E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.170136477E1,4.871083143E1,2.195196850E0,1.520561892E2,1.987563477E2,1.080000043E0,1.971999969E2,6.822566153E-1,3.790092468E0,2.500000000E0,2.800000000E1
5.270108462E1,4.871082081E1,2.195197160E0,1.516769126E2,1.983770752E2,1.059999943E0,1.908000031E2,6.833497602E-1,3.790092468E0,2.500000000E0,2.800000000E1
5.370688587E1,4.871081178E1,2.195191270E0,1.523962662E2,1.990964355E2,1.240000010E0,2.208999939E2,6.846672749E-1,3.790092468E0,2.500000000E0,2.800000000E1
5.469991462E1,4.871079997E1,2.195189820E0,1.523374227E2,1.990375977E2,1.120000005E0,2.103999939E2,6.865115356E-1,3.790092468E0,2.500000000E0,2.800000000E1
5.570746295E1,4.871078388E1,2.195183720E0,1.514799911E2,1.981801758E2,1.590000033E0,1.986000061E2,6.885213766E-1,3.790092468E0,2.500000000E0,2.800000000E1
5.670111644E1,4.871076640E1,2.195176750E0,1.487500609E2,1.954502563E2,1.389999986E0,2.035000000E2,6.906827965E-1,3.790092468E0,2.500000000E0,2.800000000E1
5.770871435E1,4.871074749E1,2.195169930E0,1.470969735E2,1.937971802E2,1.450000048E0,2.010000000E2,6.927547677E-1,3.790092468E0,2.500000000E0,2.600000000E1
5.870101711E1,4.871072939E1,2.195163220E0,1.465368430E2,1.932370605E2,1.500000000E0,2.043999939E2,6.946168539E-1,3.790092468E0,2.500000000E0,2.700000000E1
5.970383170E1,4.871071370E1,2.195154350E0,1.460697300E2,1.927699585E2,1.480000019E0,2.118000031E2,6.962489223E-1,3.790092468E0,2.500000000E0,2.700000000E1
6.070398196E1,4.871069984E1,2.195147030E0,1.457940247E2,1.924942627E2,1.440000057E0,2.056999969E2,6.978540892E-1,3.790092468E0,2.500000000E0,2.700000000E1
6.170332253E1,4.871068541E1,2.195146420E0,1.457855346E2,1.924857788E2,1.480000019E0,1.871999969E2,6.994417739E-1,3.790092468E0,2.500000000E0,2.800000000E1
6.269919263E1,4.871067118E1,2.195148200E0,1.457069774E2,1.924072266E2,1.460000038E0,1.865000000E2,7.009964103E-1,3.790092468E0,2.518655539E0,2.800000000E1
6.370898560E1,4.871065726E1,2.195150180E0,1.448123193E2,1.915125732E2,1.450000048E0,1.813999939E2,7.024793884E-1,3.790092468E0,2.500000000E0,2.800000000E1
6.470344451E1,4.871064402E1,2.195152610E0,1.446414167E2,1.913416748E2,1.409999967E0,1.858000031E2,7.041256082E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.570359737E1,4.871062958E1,2.195157560E0,1.453063302E2,1.920065918E2,1.450000048E0,1.808000031E2,7.056612205E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.670065940E1,4.871061578E1,2.195158360E0,1.451712542E2,1.918715210E2,1.460000038E0,1.930000000E2,7.070557426E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.770638883E1,4.871060341E1,2.195155230E0,1.449598217E2,1.916600952E2,1.399999976E0,2.001000061E2,7.083397728E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.870171966E1,4.871059196E1,2.195152960E0,1.457453993E2,1.924456787E2,1.320000052E0,2.008999939E2,7.094733325E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.969930909E1,4.871058204E1,2.195156520E0,1.459467520E2,1.926470337E2,1.259999990E0,1.836000061E2,7.105186736E-1,3.790092468E0,2.500000000E0,2.900000000E1
7.069957044E1,4.871057289E1,2.195153250E0,1.461764219E2,1.928767090E2,1.340000033E0,1.973000031E2,7.120387244E-1,3.790092468E0,2.500000000E0,2.900000000E1
7.170838086E1,4.871055930E1,2.195151010E0,1.461863639E2,1.928866577E2,1.370000005E0,1.890000000E2,7.134231172E-1,3.790092468E0,2.500000000E0,2.900000000E1
7.270392945E1,4.871054692E1,2.195149010E0,1.460953543E2,1.927956543E2,1.330000043E0,1.966000061E2,7.148575851E-1,3.790092468E0,2.500000000E0,2.900000000E1
7.370885096E1,4.871053458E1,2.195143310E0,1.453560275E2,1.920563354E2,1.330000043E0,1.986000061E2,7.169084166E-1,3.790092468E0,2.500000000E0,2.900000000E1
7.470161789E1,4.871051614E1,2.195143860E0,1.461500265E2,1.928503418E2,1.330000043E0,1.946999969E2,7.187389553E-1,3.790092468E0,2.691744804E0,2.900000000E1
7.570356476E1,4.871049977E1,2.195141220E0,1.462906434E2,1.929909668E2,1.360000014E0,1.973999939E2,7.205033026E-1,3.790092468E0,2.585503578E0,2.700000000E1
7.670402961E1,4.871048397E1,2.195139010E0,1.463381212E2,1.930384521E2,1.340000033E0,1.955000000E2,7.220170538E-1,3.790092468E0,2.500000000E0,2.700000000E1
7.771250200E1,4.871047121E1,2.195131820E0,1.463658833E2,1.930662231E2,1.389999986E0,2.158000031E2,7.233565398E-1,3.790092468E0,2.500000000E0,2.800000000E1
7.870177669E1,4.871046006E1,2.195138730E0,1.459531624E2,1.926535034E2,1.460000038E0,1.691999969E2,7.245334957E-1,3.790092468E0,2.500000000E0,2.800000000E1
